num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
360;1;360_1;2;2;4;1;3;;;;;;;;5;7;7;6;6;7;7;7;7;7;7;4;6;6
362;1;362_1;3;1;3;1;4;;;;;;;;5;5;6;6;4;4;5;5;6;6;6;4;6;6
368;1;368_1;2;1;3;1;6;;;;;;;;6;5;6;5;6;5;6;6;6;6;6;5;5;6
388;1;388_1;2;2;3;1;9;;;;;;;;5;6;6;6;6;3;6;6;6;7;6;5;6;6
390;1;390_1;3;1;3;1;1;;;;;;;;6;6;6;6;5;7;6;5;7;6;6;4;6;6
392;1;392_1;2;2;3;1;5;;;;;;;;7;6;6;6;6;6;6;6;6;6;6;5;6;6
404;1;404_1;2;1;4;1;18;;;;;;;;5;7;7;5;7;6;5;5;6;5;6;4;6;6
410;1;410_1;2;1;3;1;2;;;;;;;;6;6;6;6;5;5;6;6;6;6;5;5;6;6
412;1;412_1;3;1;2;1;3;;;;;;;;7;6;7;7;6;7;7;7;7;6;7;6;7;6
426;1;426_1;2;1;3;1;25;;;;;;;;6;6;6;6;6;6;6;6;5;6;6;5;5;6
442;1;442_1;2;1;4;3;12;;;;;;;;1;7;7;1;7;5;1;1;7;5;5;1;6;6
444;1;444_1;2;2;3;1;9;;;;;;;;7;7;7;6;7;7;6;6;7;7;6;6;7;6
448;1;448_1;3;1;3;1;18;;;;;;;;6;7;7;6;4;5;6;6;7;6;6;3;6;6
452;1;452_1;2;1;3;2;0.17;;;;;;;;6;6;6;6;5;7;6;5;6;5;6;6;6;6
454;1;454_1;2;2;3;1;5;;;;;;;;6;5;6;6;6;7;5;6;6;6;6;5;6;6
458;1;458_1;2;1;4;1;25;;;;;;;;6;6;6;6;6;5;6;5;6;6;6;6;6;6
476;1;476_1;1;2;4;1;8;;;;;;;;3;6;7;6;6;6;4;4;4;5;6;4;5;6
478;1;478_1;2;1;3;1;2.5;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;5;6;6
486;1;486_1;2;1;3;1;2;;;;;;;;7;7;7;5;5;7;6;6;7;7;6;4;5;6
502;1;502_1;2;1;4;1;3;;;;;;;;6;6;6;5;4;6;6;5;6;6;6;6;6;6
506;1;506_1;3;1;5;1;20;;;;;;;;6;6;6;6;5;6;6;6;6;6;6;5;6;6
510;1;510_1;3;1;3;1;3;;;;;;;;5;6;6;6;6;5;7;7;6;6;6;4;5;6
518;1;518_1;2;1;3;1;3;;;;;;;;6;5;7;7;7;4;7;5;7;6;6;7;7;6
520;1;520_1;3;1;3;1;22;;;;;;;;5;6;6;6;6;5;7;6;6;6;7;5;6;6
524;1;524_1;2;1;4;1;4;;;;;;;;5;5;5;5;5;5;5;4;6;6;6;5;6;6
540;1;540_1;3;1;3;1;11;;;;;;;;7;6;6;6;6;6;6;6;6;6;6;6;6;6
