num;split;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
1385;1;6;409_6;20;1;5;;;;;1;1;1;3;1;5;6;6;6;5;5;5;6;7;7;6;4;6;6
1399;1;6;423_6;20;1;6;;;;;2;1;1;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6
1435;1;6;459_6;22;1;5;;;;;2;1;2;3;1;5;6;7;4;5;5;6;6;6;6;6;5;6;6
1439;1;6;463_6;19;2;8;;;;;1;1;1;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6
1445;1;6;469_6;21;2;5;;;;;1;1;2;1;2;6;6;6;6;7;6;5;7;7;7;6;6;6;6
1453;1;6;477_6;;2;5;;;;;1;1;2;2;1;3;5;5;4;4;5;4;5;6;5;6;4;6;6
1461;1;6;485_6;23;1;8;;;;;2;1;1;1;1;5;5;6;6;6;6;7;7;6;5;6;4;5;6
1471;1;6;495_6;27;2;8;;;;;1;1;1;1;2;6;5;5;6;5;7;7;7;6;6;6;6;6;6
1473;1;6;497_6;20;2;6;;;;;1;1;1;2;1;6;6;6;6;5;6;6;6;6;6;6;5;6;6
1477;1;6;501_6;20;2;8;;;;;2;1;1;2;1;6;5;5;6;6;6;5;6;5;6;6;5;5;6
1485;1;6;509_6;21;2;5;;;;;2;1;1;2;1;6;7;7;6;6;7;6;6;7;6;7;6;7;6
1491;1;6;515_6;19;2;5;;;;;1;1;1;2;1;6;6;6;6;5;6;3;6;7;7;7;5;6;6
1505;1;6;529_6;23;2;8;;;;;1;1;1;1;1;5;5;6;6;6;6;4;5;6;5;6;3;5;6
1511;1;6;535_6;19;2;5;;;;;1;1;1;2;1;7;5;6;6;6;7;7;7;5;5;6;5;6;6
1513;1;6;537_6;20;1;5;;;;;1;1;2;3;1;6;6;6;7;6;6;7;7;7;6;6;4;6;6
1525;1;6;549_6;35;2;8;;;;;1;1;2;2;1;6;4;6;6;5;5;5;6;4;4;5;5;4;6
27;1;1;27_1;2;2;3;1;1;;;;;;;;6;5;7;6;7;6;6;7;7;7;7;6;6;7
41;1;1;41_1;1;1;3;1;10;;;;;;;;5;6;7;7;6;7;6;5;7;6;6;5;7;7
47;1;1;47_1;1;2;3;1;0.5;;;;;;;;6;5;5;6;6;5;7;7;7;7;7;5;6;7
63;1;1;63_1;1;1;3;1;0.33;;;;;;;;6;6;7;6;6;6;7;6;7;7;7;6;6;7
95;1;1;95_1;2;1;3;1;3;;;;;;;;6;7;7;7;7;6;7;7;7;6;7;6;7;7
105;1;1;105_1;1;2;3;1;5;;;;;;;;6;6;6;6;6;6;6;6;7;5;6;4;6;7
119;1;1;119_1;2;1;3;1;13;;;;;;;;7;7;7;6;7;7;7;6;7;7;7;7;7;7
123;1;1;123_1;2;1;5;1;20;;;;;;;;2;1;3;3;3;5;1;3;5;3;7;1;7;7
131;1;1;131_1;1;2;3;1;3.7;;;;;;;;4;4;4;4;4;4;2;2;6;4;4;2;7;7
151;1;1;151_1;2;1;3;1;25;;;;;;;;7;6;7;6;5;6;7;7;7;7;7;6;7;7
163;1;1;163_1;3;2;4;1;6;;;;;;;;7;7;7;7;7;5;7;7;7;7;7;5;7;7
171;1;1;171_1;3;1;3;1;5;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
193;1;1;193_1;3;1;4;1;6;;;;;;;;7;6;6;6;7;6;7;7;7;7;7;7;7;7
